Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2015,aston martin,ASX,Aston Martin,Vanquish,314TT3175,0,6.000,FASXV06.0VHB,Car,568,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4500,2.73,23.2,1,Not eqipped,FASX10032317,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0293000,0.3350000,536.1800000,0.0141000,,0.0048000,,16.5,MPG,16.7780000,15.1950000,19.5190000,,99.990000,99.990000,99.990000,43.170,0.75020,0.016300,4.810,0.89400,0.014000,TWC,Three-way catalyst,N,,,N,No averaging
2015,aston martin,ASX,Aston Martin,Vanquish,314TT3175,0,6.000,FASXV06.0VHB,Car,568,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ration < 1,4500,2.73,23.2,1,Not eqipped,FASX10032318,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005000,0.0375800,309.2200000,0.0017900,,,,28.7,MPG,,,,,99.990000,99.990000,99.990000,43.170,0.75020,0.016300,4.810,0.89400,0.014000,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A4,D3UB-BAF,0,1.984,DADXV02.03UB,Car,211,4,CAEB,SCV,Selectable Continuously Variable (e.g. CVT with paddles),1,N,F,"2-Wheel Drive, Front",2,Top gear ration < 1,3875,4.61,23.3,1,Not eqipped,DADX10020464,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0221000,0.6700000,292.0000000,0.0250000,,0.0052000,0.01000,30.3,MPG,28.7000000,30.0000000,32.2000000,,,,,36.644,0.24235,0.017344,-1.102,0.28735,0.015772,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A4,D3UB-BAF,0,1.984,DADXV02.03UB,Car,211,4,CAEB,SCV,Selectable Continuously Variable (e.g. CVT with paddles),1,N,F,"2-Wheel Drive, Front",2,Top gear ration < 1,3875,4.61,23.3,1,Not eqipped,DADX10020465,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0109000,0.1400000,199.0000000,0.0060000,,0.0041000,0.01000,44.6,MPG,,,,,,,,36.644,0.24235,0.017344,-1.102,0.28735,0.015772,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A4,D3UB-BMQ,0,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4000,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020117,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0163000,0.8800000,308.0000000,0.0270000,,0.0056000,,28.7,MPG,17.9000000,34.7000000,,,,,,36.194,0.32916,0.017635,3.934,-0.04500,0.019497,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A4,D3UB-BMQ,0,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4000,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020118,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0080000,0.5900000,374.0000000,0.0290000,,0.0040000,,23.7,MPG,,,,,,,,36.194,0.32916,0.017635,3.934,-0.04500,0.019497,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A4,D3UB-BMQ,0,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4000,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020119,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.1293000,2.1900000,365.0000000,0.0260000,,0.0146000,,24.1,MPG,21.8000000,23.3000000,28.1000000,,,,,39.814,0.36208,0.019398,4.328,0.01939,0.021447,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A4,D3UB-BMQ,0,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4000,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020475,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0234000,1.0300000,323.0000000,0.0190000,,0.0051000,0.01000,27.4,MPG,26.2000000,26.5000000,30.4000000,,,,,36.194,0.32916,0.017635,3.934,-0.04500,0.019497,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A4,D3UB-BMQ,0,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4000,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020476,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0096000,0.1200000,203.0000000,0.0040000,,0.0040000,0.01000,43.7,MPG,,,,,,,,36.194,0.32916,0.017635,3.934,-0.04500,0.019497,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A4,D3UB-BMQ,1,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ration < 1,3875,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020120,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0100000,0.8400000,368.0000000,0.0160000,,,,24.1,MPG,,,,,,,,36.194,0.32916,0.017635,3.934,-0.04500,0.019497,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A4,D3UB-BMQ,1,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ration < 1,3875,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020121,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.1815000,3.0200000,363.0000000,0.0340000,,0.0197000,,24.1,MPG,22.2000000,23.2000000,28.2000000,,,,,39.814,0.36208,0.019398,4.328,0.01939,0.021447,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A4,D3UB-BMQ,1,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ration < 1,3875,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020124,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0216000,0.7800000,301.0000000,0.0270000,,0.0070000,,29.4,MPG,18.9000000,34.9000000,,,,,,36.194,0.32916,0.017635,3.934,-0.04500,0.019497,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A4,D3UB-BMQ,1,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ration < 1,3875,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020477,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0233000,0.7300000,314.0000000,0.0180000,,0.0048000,0.01000,28.2,MPG,26.5000000,27.4000000,31.4000000,,,,,36.194,0.32916,0.017635,3.934,-0.04500,0.019497,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A4,D3UB-BMQ,1,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ration < 1,3875,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020478,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0091000,0.1300000,200.0000000,0.0040000,,0.0041000,0.01000,44.4,MPG,,,,,,,,36.194,0.32916,0.017635,3.934,-0.04500,0.019497,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A6,C3UB-CAF,0,1.984,CADXJ02.03UB,Both,211,4,CAEB,CVT,Continuously Variable,1,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4000,3.09,24.1,1,Not eqipped,CADX10012504,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0185000,1.0800000,309.0000000,0.0240000,,,,28.6,MPG,17.5000000,34.9000000,,,,,,36.194,0.15554,0.016704,2.338,0.28214,0.014783,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A6,C3UB-CAF,0,1.984,CADXJ02.03UB,Both,211,4,CAEB,CVT,Continuously Variable,1,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4000,3.09,24.1,1,Not eqipped,CADX10012505,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0155000,0.4800000,338.0000000,0.0140000,,,,26.2,MPG,,,,,,,,36.194,0.15554,0.016704,2.338,0.28214,0.014783,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A6,C3UB-CAF,0,1.984,CADXJ02.03UB,Both,211,4,CAEB,CVT,Continuously Variable,1,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4000,3.09,24.1,1,Not eqipped,CADX10012506,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.1912000,1.2400000,332.0000000,0.0400000,,,,26.6,MPG,23.1000000,26.3000000,30.6000000,,,,,39.814,0.17109,0.018374,2.572,0.31035,0.016261,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A6,C3UB-CAF,0,1.984,CADXJ02.03UB,Both,211,4,CAEB,CVT,Continuously Variable,1,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4000,3.09,24.1,1,Not eqipped,CADX10012730,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0282000,0.6700000,282.0000000,0.0120000,0.0010000,0.0060800,0.01000,31.4,MPG,29.5000000,31.0000000,33.9000000,,,,,36.194,0.15554,0.016704,2.338,0.28214,0.014783,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A6,C3UB-CAF,0,1.984,CADXJ02.03UB,Both,211,4,CAEB,CVT,Continuously Variable,1,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4000,3.09,24.1,1,Not eqipped,CADX10012731,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0105000,0.1900000,189.0000000,0.0030000,,0.0044500,0.01000,46.9,MPG,,,,,,,,36.194,0.15554,0.016704,2.338,0.28214,0.014783,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A6,D3UF-CAQ,0,2.995,DADXJ03.03UF,Both,333,6,CTUA,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ration < 1,4250,2.85,24.6,1,Not eqipped,DADX10021356,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0206000,0.4000000,374.0000000,0.0170000,0.0050000,0.0047000,0.01000,23.7,MPG,21.7000000,23.3000000,26.3000000,,,,,35.745,0.43044,0.017460,-11.690,0.42321,0.014608,TWC,Three-way catalyst,N,A,0.5,H,Harmonic averaging (1/(Sum(i=1 to n) (FET(i) / WT(i)))
2015,Audi,ADX,AUDI,A6,D3UF-CAQ,1,2.995,DADXJ03.03UF,Both,333,6,CTUA,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ration < 1,4250,2.85,24.6,1,Not eqipped,DADX10021100,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0181000,0.3300000,393.0000000,0.0200000,0.0040000,0.0039000,0.01000,22.6,MPG,21.6000000,21.7000000,25.6000000,,,,,35.745,0.43044,0.017460,-11.690,0.42321,0.014608,TWC,Three-way catalyst,N,A,0.5,H,Harmonic averaging (1/(Sum(i=1 to n) (FET(i) / WT(i)))
2015,Audi,ADX,AUDI,A6,D3UF-CAQ,1,2.995,DADXJ03.03UF,Both,333,6,CTUA,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ration < 1,4250,2.85,24.6,1,Not eqipped,DADX10021357,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0168000,0.2200000,233.0000000,0.0070000,,0.0046000,0.01000,38.1,MPG,,,,,,,,35.745,0.43044,0.017460,-11.690,0.42321,0.014608,TWC,Three-way catalyst,N,A,0.5,H,Harmonic averaging (1/(Sum(i=1 to n) (FET(i) / WT(i)))
2015,Audi,ADX,AUDI,A6,D3UF-CAQ,2,2.995,DADXJ03.03UF,Both,333,6,CTUA,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,2.85,24.6,1,Not eqipped,DADX10021108,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0470000,1.2000000,362.0000000,0.0140000,,0.0081000,,24.4,MPG,14.8000000,29.9000000,,,,,,35.745,0.43044,0.017460,-11.690,0.42321,0.014608,TWC,Three-way catalyst,N,B,0.5,H,Harmonic averaging (1/(Sum(i=1 to n) (FET(i) / WT(i)))
2015,Audi,ADX,AUDI,A6,D3UF-CAQ,2,2.995,DADXJ03.03UF,Both,333,6,CTUA,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,2.85,24.6,1,Not eqipped,DADX10021328,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0205000,0.5300000,379.0000000,0.0170000,0.0040000,0.0052000,0.01000,23.4,MPG,21.3000000,23.5000000,25.6000000,,,,,35.745,0.43044,0.017460,-11.690,0.42321,0.014608,TWC,Three-way catalyst,N,B,0.5,H,Harmonic averaging (1/(Sum(i=1 to n) (FET(i) / WT(i)))
2015,Audi,ADX,AUDI,A6,D3UF-CAQ,3,2.995,DADXJ03.03UF,Both,333,6,CTUA,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,2.85,24.6,1,Not eqipped,DADX10021111,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.3342000,1.5300000,488.0000000,0.0320000,,0.0268000,,18.1,MPG,14.6000000,18.0000000,23.3000000,,,,,39.319,0.47349,0.019206,-12.859,0.01920,0.016069,TWC,Three-way catalyst,N,B,0.5,H,Harmonic averaging (1/(Sum(i=1 to n) (FET(i) / WT(i)))
2015,Audi,ADX,AUDI,A6,D3UF-CAQ,3,2.995,DADXJ03.03UF,Both,333,6,CTUA,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,2.85,24.6,1,Not eqipped,DADX10021112,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0071000,0.0400000,448.0000000,0.0170000,,0.0016000,,19.8,MPG,,,,,,,,35.745,0.43044,0.017460,-11.690,0.42321,0.014608,TWC,Three-way catalyst,N,B,0.5,H,Harmonic averaging (1/(Sum(i=1 to n) (FET(i) / WT(i)))
2015,Audi,ADX,AUDI,A6,D3UF-CAQ,3,2.995,DADXJ03.03UF,Both,333,6,CTUA,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,2.85,24.6,1,Not eqipped,DADX10021115,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0467000,1.4600000,363.0000000,0.0150000,,0.0077000,,24.3,MPG,14.6000000,30.0000000,,,,,,35.745,0.43044,0.017460,-11.690,0.42321,0.014608,TWC,Three-way catalyst,N,B,0.5,H,Harmonic averaging (1/(Sum(i=1 to n) (FET(i) / WT(i)))
2015,Audi,ADX,AUDI,A6,D3UF-CAQ,3,2.995,DADXJ03.03UF,Both,333,6,CTUA,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,2.85,24.6,1,Not eqipped,DADX10021326,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0180000,0.3500000,391.0000000,0.0190000,0.0040000,0.0044000,0.01000,22.7,MPG,21.5000000,22.1000000,24.9000000,,,,,35.745,0.43044,0.017460,-11.690,0.42321,0.014608,TWC,Three-way catalyst,N,B,0.5,H,Harmonic averaging (1/(Sum(i=1 to n) (FET(i) / WT(i)))
2015,Audi,ADX,AUDI,A6,D3UF-CAQ,3,2.995,DADXJ03.03UF,Both,333,6,CTUA,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,Y,A,All Wheel Drive,2,Top gear ration < 1,4500,2.85,24.6,1,Not eqipped,DADX10021327,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0197000,0.2800000,236.0000000,0.0070000,,0.0050000,0.01000,37.6,MPG,,,,,,,,35.745,0.43044,0.017460,-11.690,0.42321,0.014608,TWC,Three-way catalyst,N,B,0.5,H,Harmonic averaging (1/(Sum(i=1 to n) (FET(i) / WT(i)))
2015,Audi,ADX,AUDI,A6 quattro,D3UB-CAQ,0,1.984,DADXV02.03UB,Car,211,4,CAEB,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ration < 1,4250,3.08,26.9,1,Not eqipped,DADX10020969,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0039000,1.2800000,422.0000000,0.0210000,,0.0017000,,21.0,MPG,,,,,,,,34.396,0.43044,0.017460,-10.341,0.30023,0.016471,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A6 quattro,D3UB-CAQ,0,1.984,DADXV02.03UB,Car,211,4,CAEB,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ration < 1,4250,3.08,26.9,1,Not eqipped,DADX10020972,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0399000,1.6300000,343.0000000,0.0120000,,0.0160000,,25.7,MPG,15.9000000,31.2000000,,,,,,34.396,0.43044,0.017460,-10.341,0.30023,0.016471,TWC,Three-way catalyst,N,,,N,No averaging
2015,Audi,ADX,AUDI,A6 quattro,D3UB-CAQ,0,1.984,DADXV02.03UB,Car,211,4,CAEB,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ration < 1,4250,3.08,26.9,1,Not eqipped,DADX10020974,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.1126000,1.1500000,429.0000000,0.0250000,,0.0095000,,20.6,MPG,16.9000000,20.9000000,24.9000000,,,,,37.835,0.47349,0.019206,-9.307,0.01920,0.018118,TWC,Three-way catalyst,N,,,N,No averaging
